"Ligand","Receptor"
"Potri.010G131500.v4.1","Potri.013G117200.v4.1"
"Potri.010G158250.v4.1","Potri.008G140500.v4.1"
"Potri.011G025400.v4.1","Potri.007G002000.v4.1"
"Potri.011G110500.v4.1","Potri.001G385200.v4.1"
"Potri.011G118600.v4.1","Potri.007G002000.v4.1"
"Potri.012G102900.v4.1","Potri.015G141200.v4.1"
"Potri.013G005700.v4.1","Potri.019G094600.v4.1"
"Potri.013G005700.v4.1","Potri.019G094700.v4.1"
"Potri.013G116600.v4.1","Potri.006G220100.v4.1"
"Potri.013G116600.v4.1","Potri.008G144700.v4.1"
"Potri.013G116600.v4.1","Potri.012G130400.v4.1"
"Potri.013G119100.v4.1","Potri.005G241500.v4.1"
"Potri.013G119100.v4.1","Potri.006G179400.v4.1"
"Potri.013G134300.v4.1","Potri.001G039200.v4.1"
"Potri.013G136100.v4.1","Potri.006G220100.v4.1"
"Potri.013G136100.v4.1","Potri.012G130400.v4.1"
"Potri.014G006900.v4.1","Potri.008G144700.v4.1"
"Potri.014G074600.v4.1","Potri.008G144700.v4.1"
"Potri.014G074600.v4.1","Potri.017G094400.v4.1"
"Potri.014G129400.v4.1","Potri.001G129000.v4.1"
"Potri.014G149900.v4.1","Potri.002G226600.v4.1"
"Potri.015G024200.v4.1","Potri.008G090400.v4.1"
"Potri.015G087400.v4.1","Potri.002G111700.v4.1"
"Potri.015G087400.v4.1","Potri.019G078400.v4.1"
"Potri.016G042500.v4.1","Potri.015G123800.v4.1"
"Potri.016G042500.v4.1","Potri.019G129100.v4.1"
"Potri.017G074600.v4.1","Potri.006G179400.v4.1"
"Potri.017G074600.v4.1","Potri.007G009200.v4.1"
"Potri.017G074600.v4.1","Potri.013G087200.v4.1"
"Potri.017G083000.v4.1","Potri.007G033801.v4.1"
"Potri.017G083000.v4.1","Potri.008G140500.v4.1"
"Potri.017G124200.v4.1","Potri.004G086100.v4.1"
"Potri.017G144361.v4.1","Potri.015G141200.v4.1"
"Potri.019G083900.v4.1","Potri.017G095900.v4.1"
"Potri.019G083900.v4.1","Potri.017G096000.v4.1"
